,Name,Industry,Point of Contact,Email Address,LinkedIn,Outreach Round ,Owner ,Outreach Medium ,Outreach Date,Outreach,Response,Meeting,Engagement Scoping,Win
33,Cowlar,AgriTech,,,,,Natasha,,,,,,,
89,Industrial Vision Systems,AgriTech,,,,,Natasha,,,,,,,
96,Jiye,AgriTech,,,,,Natasha,,,,,,,
141,Pak Sar Zameen,AgriTech,,,,,Natasha,,,,,,,
142,PakAgriMarket,AgriTech,,,,,Natasha,,,,,,,
147,Peepu,AgriTech,,,,,Natasha,,,,,,,
159,QurbaniApp,AgriTech,,,,,Natasha,,,,,,,
165,Ricult,AgriTech,,,,,Natasha,,,,,,,
196,Tazah,AgriTech,,,,,Natasha,,,,,,,
202,The Farmette,AgriTech,,,,,Natasha,,,,,,,
