,Name,Industry,Point of Contact,Email Address,LinkedIn,Outreach Round ,Owner ,Outreach Medium ,Outreach Date,Outreach,Response,Meeting,Engagement Scoping,Win
0,A-Plus Entertainment,TMT,,,,,Khadija,,,,,,,
20,BOL Entertainment,TMT,,,,,Khadija,,,,,,,
26,Centrum Media,TMT,Wahid Ali,,https://pk.linkedin.com/in/wahid-ali-52a75b8a,Round 1,Khadija,LinkedIn,09/11/2021,checked,checked,,,
28,City 42,TMT,,,,,Khadija,,,,,,,
49,Discover Pakistan,TMT,,info@discoverpakistan.tv,https://pk.linkedin.com/company/discoverpakistanhdtv,Round 1,Khadija,LinkedIn,09/11/2021,checked,,,,
52,Dunya News,TMT,,,,,Khadija,,,,,,,
64,Express News,TMT,,,,,Khadija,,,,,,,
74,GEO Sports,TMT,,,,,Khadija,,,,,,,
109,Lahore News,TMT,,,,,Khadija,,,,,,,
156,PTV Home,TMT,,,,,Khadija,,,,,,,
